21;Géographie;Où se situe la célèbre base navale américaine de Guantanamo?;Cuba;Mexique;Hawaii;Paraguay;http://fr.wikipedia.org/wiki/Prison_de_Guantánamo
22;Animaux;Laquelle de ces propositions désigne un crustacé décapode marin à grosses pinces?;Homard;Calamar;Ecrevisse;Crevette;http://fr.wikipedia.org/wiki/Homard
23;Animaux;Quel nom donne-t-on au renard des régions arctiques dont la fourrure bleutée devient blanche en hiver?;Isatis;Mysaris;Rinarys;Parysis;http://fr.wikipedia.org/wiki/Renard_polaire
24;Sciences;Quelle est la plus grosse des planètes du système solaire?;Jupiter;Saturne;Uranus;Neptune;http://fr.wikipedia.org/wiki/Jupiter_(planète)
25;Histoire;Lequel de ces présidents de la République française trouva la mort dans une situation 'inhabituelle'?;Félix Faure;René Coty;Georges Pompidou;Raymond Poincaré;http://fr.wikipedia.org/wiki/Félix_Faure
26;Géographie;Quel pays a pour capitale Katmandou?;Népal;Inde;Corée;Pakistan;http://fr.wikipedia.org/wiki/Népal
27;Cinéma;A quel réalisateur français doit-on les succès tels que 'Le Corniaud' ou encore 'La Grande Vadrouille'?;Gérard Oury;Claude Zidi;Patrice Leconte;Patrice Lefebvre;http://fr.wikipedia.org/wiki/Gérard_Oury
28;Cinéma;A quel groupe musical international doit-on la bande originale du film 'Flash Gordon'?;Queen;Led Zeppelin;The Doors;Yes;http://fr.wikipedia.org/wiki/Queen
29;Musique;Pour quel chanteur français Capri est-il fini?;Hervé Vilard;Salvatore Adamo;Serge Lama;Charles Aznavour;http://fr.wikipedia.org/wiki/Hervé_Vilard
30;Animaux;A quelle classe animale le scorpion appartient-il?;Arachnides;Reptiles;Insectes;Mammifères;http://fr.wikipedia.org/wiki/Scorpiones
31;Arts;Quel est le théâtre le mieux conservé des théâtres grecs en activité avant la naissance de Jésus-Christ?;Epidaure;Athènes;Parthénon;Corinthe;http://fr.wikipedia.org/wiki/Epidaure
32;Animaux;Quel oiseau palmipède a pour particularité de construire un nid flottant?;Grèbe;Grèle;Grève;Grène;http://fr.wikipedia.org/wiki/Grèbe
33;Culture générale;Un bédane est un outil proche du...;Ciseau à bois;Maillet;Vilebrequin;Rabot;http://fr.wikipedia.org/wiki/Bédane
34;Télévision;Quelle est la race du chien de Columbo?;Basset;Beagle;Bichon;Barbet;http://fr.wikipedia.org/wiki/Columbo
35;Sports;Quelle est la spécialité du sportif tunisien Oussama Mellouli?;Natation;Marathon;Football;Boxe;http://fr.wikipedia.org/wiki/Oussama_Mellouli
36;Langue française;Dans le langage familier, comment appelle-t-on la dent du petit enfant?;Quenotte;Menotte;Bouillotte;Marmotte;http://fr.wikipedia.org/wiki/Quenotte
37;Peinture;Quel peintre, né en 1844, est également appelé 'le Douanier'?;Henri Rousseau;Pablo Picasso;Edgar Degas;Salvador Dali;http://fr.wikipedia.org/wiki/Henri_Rousseau
38;Musique;Dans les années 80, quel groupe musical a chanté le titre 'Shout'?;Tears For Fears;Queen;Simple Minds;U2;http://fr.wikipedia.org/wiki/Tears_For_Fears
39;Géographie;Comment appelle-t-on le versant de la montagne non situé au soleil?;Ubac;Adret;Etant;Ressac;http://fr.wikipedia.org/wiki/Ubac
40;Divertissement;Quelle est la seule valeur à la roulette à porter la couleur verte?;Zéro;Quarante;Cinquante;Treize;http://fr.wikipedia.org/wiki/Roulette_(jeu_de_hasard)
41;Informatique;Quelle est la plus petite unité de mémoire utilisable sur un ordinateur?;Bit;Byte;Octet;Mega;http://fr.wikipedia.org/wiki/Mémoire_informatique
42;Animaux;Quel animal appelle-t-on aussi 'la bête à bon dieu'?;Coccinelle;Scarabée;Libellule;Luciole;http://fr.wikipedia.org/wiki/Coccinellidae
43;Animaux;Quel est le seul mammifère à posséder quatre genoux?;Eléphant;Girafe;Rhinocéros;Zèbre;http://fr.wikipedia.org/wiki/Éléphant
44;Nature;Lequel de ces arbres est un conifère à feuilles caduques?;Mélèze;Marronnier;Peuplier;Chêne;http://fr.wikipedia.org/wiki/Pinophyta
45;Sciences;En 1895, quelle importante découverte a faite Wilhelm Conrad Röntgen (1845-1923)?;Rayons X;Gène de la mononucléose;Gravité universelle;Pneumatique;http://fr.wikipedia.org/wiki/Wilhelm_Röntgen
46;Histoire;Qui fut le premier européen à arriver aux Philippines?;Magellan;Christophe Colomb;Vasco de Gama;Mauperthuis;http://fr.wikipedia.org/wiki/Philippines
47;Télévision;Qui joua le rôle de Donna Martin dans la série télévisée 'Beverly Hills 90210'?;Tori Spelling;Jenny Garth;Tiffany Amber Thiessen;Carol Potter;http://fr.wikipedia.org/wiki/Beverly_Hills_90210
48;Politique;Combien de temps dure le mandat du président des Etats-Unis?;4 ans;5 ans;6 ans;7 ans;http://fr.wikipedia.org/wiki/Président_des_États-Unis
49;Musique;A quelle note correspond la lettre D en Angleterre?;Ré;Do;Mi;Fa;http://fr.wikipedia.org/wiki/Note_de_musique
50;Musique;En quelle année est sorti le premier disque de rock français à ne pas être une parodie?;1958;1960;1962;1964;http://fr.wikipedia.org/wiki/Rock_français
51;Sports;Dans quel pays se trouve le circuit automobile de Zandvoort?;Pays-Bas;Suisse;Allemagne;Belgique;http://fr.wikipedia.org/wiki/Circuit_de_Zandvoort
52;Culture générale;Quand peut-on danser la samba au Carnaval de Rio?;Février;Janvier;Mars;Mai;http://fr.wikipedia.org/wiki/Carnaval_de_Rio
53;Sciences;Combien font 70% de 70%?;49%;39%;59%;29%;http://fr.wikipedia.org/wiki/Mathématiques
54;Littérature;Quel roman George Orwell a-t-il écrit en 1948?;1984;2001;2010;1948;http://fr.wikipedia.org/wiki/George_Orwell
55;Géographie;Dans quelle ville se trouve la fontaine de Trevi?;Rome;Venise;Seville;Barcelone;http://fr.wikipedia.org/wiki/Fontaine_de_Trevi
56;Animaux;Quel oiseau zinzinule?;Fauvette;Pinson;Pie;Moineau;http://fr.wikipedia.org/wiki/Cris_des_animaux
57;Culture générale;En quoi un nihiliste croit-il?;En rien;En tout;En lui-même;En la chance;http://fr.wikipedia.org/wiki/Nihilisme
58;Animaux;Quel sens utilise la fourmi pour se diriger?;Odorat;Ouïe;Toucher;Vue;http://fr.wikipedia.org/wiki/Formicidae
59;Animaux;Lequel des cinq sens manque à un serpent?;Ouïe;Odorat;Toucher;Vue;http://fr.wikipedia.org/wiki/Serpentes
60;Animaux;Lequel de ces serpents est le plus long?;Python réticulé;Boa;Python royal;Vipère aspic;http://fr.wikipedia.org/wiki/Python_réticulé
61;Animaux;Quel oiseau nageur est le plus rapide?;Manchot papou;Pétrel nain;Pigeon;Cincle plongeur;http://fr.wikipedia.org/wiki/Manchot_papou
62;Littérature;Dans quel livre rencontre-t-on le personnage de Smerdiakov?;Les Frères Karamazov;Guerre et Paix;Les Sœurs Brontë;Crime et Châtiment;http://fr.wikipedia.org/wiki/Les_Frères_Karamazov
63;Animaux;Lequel de ces oiseaux fait partie des trois seuls oiseaux venimeux au monde?;Pitohui bicolore;Faucon;Martinet blanc;Mouette rieuse;http://fr.wikipedia.org/wiki/Pitohui_bicolore
64;Animaux;Avec quel autre animal vit généralement une oie?;Jars;Canard;Cygne;Poule;http://fr.wikipedia.org/wiki/Oie
65;Animaux;Lequel de ces oiseaux possède les plus grandes ailes?;Albatros;Martinet;Autruche;Oie;http://fr.wikipedia.org/wiki/Diomedeinae
66;Culture générale;Quelle est la plus importante gare de Paris en termes de trafic passager?;Paris-Nord;Aulnay-sous-Bois;La Plaine-Stade de France;Saint-Denis;http://fr.wikipedia.org/wiki/Gare_de_Paris-Nord
67;Animaux;Quelle est la plus grande tortue marine connue à ce jour?;Tortue luth;Tortue franche;Tortue argneuse;Tortue ninja;http://fr.wikipedia.org/wiki/Tortue_luth
68;Cinéma;De quelle comédie musicale font partie les Pink Ladies?;Grease;Save the Last Dance;West Side Story;Moulin Rouge;http://fr.wikipedia.org/wiki/Grease
69;Animaux;Où vit le rat des moissons?;Dans un nid;Dans un antre;Dans une tannière;Dans un tronc creux;http://fr.wikipedia.org/wiki/Rat_des_moissons
70;Animaux;Quel animal est le plus rapide à terre?;Guépard;Léopard;Panthère noire;Lynx;http://fr.wikipedia.org/wiki/Guépard
71;Animaux;Quel est le cri de la grenouille?;Coassement;Glapissement;Graillement;Croassement;http://fr.wikipedia.org/wiki/Cri_des_animaux
72;Géographie;Quel océan est le plus profond?;Océan Pacifique;Océan Arctique;Océan Indien;Océan Antarctique;http://fr.wikipedia.org/wiki/Océan_Pacifique
73;Littérature;Lequel de ces romans a été écrit par William Styron (1925-2006)?;Le choix de Sophie;Marc et Sophie;Les malheurs de Sophie;Le monde selon Sophie;http://fr.wikipedia.org/wiki/William_Styron
74;Religion;Quel est le nom grec de la déesse romaine Vénus?;Aphrodite;Athéna;Artémis;Rhea;http://fr.wikipedia.org/wiki/Vénus_(mythologie)
75;Littérature;Qui a écrit 'Le monde selon Garp'?;John Irving;John Fitzgerald;John Fante;John Carpenter;http://fr.wikipedia.org/wiki/Le_Monde_selon_Garp
76;Culture générale;Dans lequel de ces pays ne roule-t-on pas à gauche?;Nigeria;Tanzanie;Swaziland;Mozambique;http://fr.wikipedia.org/wiki/Nigeria
77;Géographie;Lequel de ces fleuves a le plus important débit?;Amazone;Nil;Saint-Laurent;Gange;http://fr.wikipedia.org/wiki/Fleuve_Amazone
78;Culture générale;Quelle est la monnaie utilisée en Mongolie?;Tugrik;Romak;Tarek;Nihouk;http://fr.wikipedia.org/wiki/Mongolie
79;Sciences;Avec quoi mesure-t-on la profondeur des océans?;Sonar;Radar;Compteur Geiger;Sextant;http://fr.wikipedia.org/wiki/Sonar
80;Géographie;Où sont situées les plus célèbres falaises de France?;Etretat;Nice;Brest;Saint-Malo;http://fr.wikipedia.org/wiki/Étretat
81;Sciences;Comment appelle-t-on notre galaxie?;Voie lactée;Croix du Sud;Alpha de Centaure;Grande Ourse;http://fr.wikipedia.org/wiki/Voie_lactée_(galaxie)
82;Sciences;Quelle échelle mesure la vitesse du vent?;Echelle de Beaufort;Echelle de Richter;Echelle de Douglas;Echelle de Zhubov;http://fr.wikipedia.org/wiki/Échelle_de_Beaufort
83;Géographie;De ces quatre lacs, lequel est le plus profond?;Lac Baïkal;Lac Erié;Lac Titicaca;Lac Michigan;http://fr.wikipedia.org/wiki/Lac_Baïkal
84;Géographie;De ces quatre déserts chauds, lequel a la plus grande superficie?;Sahara;Kalahari;Gobi;Namib;http://fr.wikipedia.org/wiki/Sahara
85;Culture générale;Quel personnage public a pour enfants Brooklyn, Roméo et Cruz?;Victoria Beckham;Madonna;Mélanie Griffith;Angélina Jolie;http://fr.wikipedia.org/wiki/David_Beckham
86;Sciences;Combien de côtes possède-t-on?;Douze paires;Huit paires;Dix paires;Quatorze paires;http://fr.wikipedia.org/wiki/Côte_(anatomie)
87;Sciences;A quelle partie de notre corps peut-on associer le cubitus?;Avant-bras;Pied;Main;Jambe;http://fr.wikipedia.org/wiki/Ulna
88;Sciences;Combien de litres de sang circulent dans notre corps une fois adulte?;Environ 5 litres;Environ 3 litres;Environ 4 litres;Environ 6 litres;http://fr.wikipedia.org/wiki/Sang
89;Sciences;Quels éléments animent le squelette?;Muscles et tendons;Muscles;Tendons;Os;http://fr.wikipedia.org/wiki/Squelette
90;Cinéma;Qui joue le rôle du nettoyeur dans le film 'Nikita'?;Jean Reno;Tchéky Karyo;Jean-Hugues Anglade;Jean-Marc Barr;http://fr.wikipedia.org/wiki/Nikita_(film)
91;Histoire;Quelle capitale actuelle était appelée 'Philadelphia' du temps des Romains?;Amman;Damas;Bagdad;Téhéran;http://fr.wikipedia.org/wiki/Amman
92;Cinéma;De qui Warren Beatty est-il le frère?;Shirley MacLaine;Elle Macpherson;Aline MacMahon;Ann-Marie MacDonald;http://fr.wikipedia.org/wiki/Warren_Beatty
93;Culture générale;Où se situe la nécropole de la Maison de France?;Saint Denis;Versailles;Fontainebleau;Senlis;http://fr.wikipedia.org/wiki/Maison_de_France
94;Sciences;Quel os du squelette humain est le plus long et le plus solide?;Fémur;Radius;Carpe;Cubitus;http://fr.wikipedia.org/wiki/Os
95;Sciences;Quelle est la substance qui évite le frottement des articulations de notre corps?;Cartilage;Prolactine;Sang;Kératine;http://fr.wikipedia.org/wiki/Cartilage
96;Sciences;Dans notre organisme, en quoi se décomposent les protéines?;Acides aminés;Sels minéraux;Glucides;Lipides;http://fr.wikipedia.org/wiki/Protéine
97;Sciences;Quelle est la fonction principale du crâne?;Protéger le cerveau;Réfléchir;Envoyer des messages;Maintenir notre équilibre;http://fr.wikipedia.org/wiki/Crâne
98;Sciences;Comment appelle-t-on un médecin spécialiste des yeux?;Ophtalmologue;Opticien;Orthodontiste;Dermatologue;http://fr.wikipedia.org/wiki/Ophtalmologie
99;Cinéma;Dans quelles aventures retrouve-t-on les personnages de Loïs et Clark?;Superman;Spiderman;Batman;Hulk;http://fr.wikipedia.org/wiki/Loïs_et_Clark
100;Nature;Quelle est la plus grande fleur du monde?;Rafflésie;Rose;Jasmin;Pétunia;http://fr.wikipedia.org/wiki/Rafflesia_(plante)
101;Culture générale;Qui était Henri Grouès (1912-2007)?;Abbé Pierre;Colonel Rol Tanguy;Professeur Choron;Henri Troyat;http://fr.wikipedia.org/wiki/Abbé_Pierre
102;Nature;Quel arbre est connu pour être le plus grand au monde?;Séquoia;Chêne;Pin;Hêtre;http://fr.wikipedia.org/wiki/Séquoia
103;Nature;De ces quatre champignons, lequel est le plus vénéneux?;Amanite phalloïde;Morille;Polypore;Girolle;http://fr.wikipedia.org/wiki/Amanite_phalloïde
104;Culture générale;Qui est président de la Tunisie depuis le 7 novembre 1987?;Zine el-Abidine Ben Ali;Rachid Sfar;Mahmoud Materi;Tahar Sfar;http://fr.wikipedia.org/wiki/Zine_el-Abidine_Ben_Ali
105;Nature;Un arbre à feuilles caduques est un arbre dont les feuilles...;Tombent chaque année;Ne tombent pas;Changent de couleur;Disparaissent;http://fr.wikipedia.org/wiki/Feuille
106;Culture générale;A quel domaine se rapporte le terme 'propylée'?;Architecture;Botanique;Littérature;Généalogie;http://fr.wikipedia.org/wiki/Propylée
107;Nature;De quelle plante le nom signifie-t-il 'turban' en perse?;Tulipe;Digitale;Jonquille;Renoncule;http://fr.wikipedia.org/wiki/Tulipe
108;Langue française;De quoi est constitué le goémon épave?;Algues;Champignons;Arbrisseaux;Oiseaux;http://fr.wikipedia.org/wiki/Varech
109;Culture générale;A quoi sert le houblon?;A fabriquer de la bière;A faire de la paille;A confectionner des tissus;A enlever la rouille;http://fr.wikipedia.org/wiki/Houblon
110;Sports;Dans lequel de ces clubs le footballeur Dominique Rocheteau ne joua-t-il jamais?;FC Nantes;Toulouse FC;AS Saint Etienne;Paris St Germain;http://fr.wikipedia.org/wiki/Dominique_Rocheteau
111;Peinture;Quelles sont les trois couleurs fondamentales pour le peintre?;Rouge bleu jaune;Blanc bleu rouge;Vert rouge jaune;Rouge bleu vert;http://fr.wikipedia.org/wiki/Peinture
112;Gastronomie;Laquelle de ces propositions ne se rapporte pas à un type de pain?;Farinade;Boulot;Fouée;Faluche;http://fr.wikipedia.org/wiki/Farinade
113;Histoire;Qui était Hermogène?;Un architecte grec;Un guerrier troyen;Un médecin étrusque;Un poète romain;http://fr.wikipedia.org/wiki/Hermogène
114;Gastronomie;Que mangerez-vous si on vous sert un tempura?;Des beignets;Des biscuits salés;Un potage épais;Du riz bouilli;http://fr.wikipedia.org/wiki/Tempura
115;Gastronomie;Selon la légende, quelle spécialité le cuisinier grec Aphtonite aurait-il inventée?;Boudin noir;Saucisson sec;Rillettes;Andouillette;http://fr.wikipedia.org/wiki/Boudin_noir
116;Arts;Avec quel animal Joseph Beuys a-t-il été enfermé durant une de ses performances?;Coyote;Loup;Serpent;Renard;http://fr.wikipedia.org/wiki/Joseph_Beuys
117;Langue française;En linguistique, quel est le cas du sujet grammatical?;Nominatif;Ablatif;Accusatif;Génitif;http://fr.wikipedia.org/wiki/Nominatif
118;Histoire;Quelles festivités religieuses et militaires étaient célébrées à Sparte pour rendre hommage à Apollon?;Karneia;Mounichies;Septéries;Thalysies;http://fr.wikipedia.org/wiki/Karneia
119;Cinéma;Quel est le prénom de Kate Winslet dans le film 'Titanic' de James Cameron?;Rose;Liz;Carla;Jeanne;http://fr.wikipedia.org/wiki/Titanic_(film,_1997)
120;Cinéma;Quelle actrice tient le rôle principal du film 'Chaos' de Coline Serreau?;Rachida Brakni;Emilie Dequenne;Catherine Frot;Cécile de France;http://fr.wikipedia.org/wiki/Chaos_(film,_2001)
121;Cinéma;Quelle célèbre chanteuse au caractère imprévisible a obtenu un rôle dans le film 'Dancer in the Dark'?;Björk;Tina Arena;Lene Marlin;Jennifer Lopez;http://fr.wikipedia.org/wiki/Dancer_in_the_Dark
122;Cinéma;Quel est le titre du film retraçant la carrière de la chanteuse américaine Mariah Carey?;Glitter;Swiffer;Lover;Fever;http://fr.wikipedia.org/wiki/Mariah_Carey
123;Animaux;Sur quelle espérance de vie moyenne une girafe peut-elle compter?;Environ 25 ans;Environ 55 ans;Environ 15 ans;Environ 75 ans;http://fr.wikipedia.org/wiki/Girafe
124;Culture générale;Quelle girafe en caoutchouc, créée en 1961, était destinée à être mordillée par les nourrissons?;Sophie;Barbie;Noémie;Mimie;http://fr.wikipedia.org/wiki/Sophie
125;Cinéma;Quel célèbre Claude a réalisé le film 'Poulet au vinaigre'?;Claude Chabrol;Claude Berri;Claude Miller;Claude Pieplu;http://fr.wikipedia.org/wiki/Poulet_au_vinaigre
126;Arts;En quelle année fut fondé le groupe des Nouveaux réalistes?;1960;1950;1970;1980;http://fr.wikipedia.org/wiki/Nouveau_réalisme
127;Gastronomie;Quel cépage prédomine dans le Libournais?;Merlot;Cot;Cabernet-Sauvignon;Clairette;http://fr.wikipedia.org/wiki/Libournais
128;Sports;Combien existe-t-il de manières de commencer une partie aux échecs?;20;10;24;32;http://fr.wikipedia.org/wiki/Échecs
129;Géographie;Quel détroit relie la Mer Noire à la Mer de Marmara?;Bosphore;Détroit de Béring;Détroit de Gibraltar;Détroit de Messine;http://fr.wikipedia.org/wiki/Bosphore
130;Géographie;Quel détroit sépare le continent européen du continent africain?;Détroit de Gibraltar;Détroit de Béring;Bosphore;Détroit de Messine;http://fr.wikipedia.org/wiki/Détroit_de_Gibraltar
131;Géographie;La Sarine est une rivière...;Suisse;Belge;Française;Italienne;http://fr.wikipedia.org/wiki/Sarine
132;Géographie;Quel autre nom porte le lac de Genève?;Lac Léman;Lac de Constance;Lac Majeur;Lac de Côme;http://fr.wikipedia.org/wiki/Lac_Léman
133;Géographie;Quel est le plus long fleuve européen?;Volga;Danube;Rhin;Loire;http://fr.wikipedia.org/wiki/Volga
134;Géographie;Quel est le plus grand port au monde connu pour son trafic de marchandises?;Rotterdam;Amsterdam;Le Havre;Dunkerque;http://fr.wikipedia.org/wiki/Rotterdam
135;Géographie;Que signifie 'Bosphore' en grec?;Passage de la vache;Passage du mouton;Passage aux serpents;Passage de la chèvre;http://fr.wikipedia.org/wiki/Bosphore
136;Géographie;Quel archipel appartenant au Portugal est constitué de 9 îles et de plusieurs îlots?;Açores;Baléares;Canaries;Iles Caïman;http://fr.wikipedia.org/wiki/Açores
137;Géographie;Parmi ces îles, laquelle est la plus méridionale?;Sicile;Corse;Sardaigne;Baléares;http://fr.wikipedia.org/wiki/Sicile
138;Arts;A quel métier se destinait Robert Rauschenberg avant de devenir artiste?;Pharmacien;Mathématicien;Vétérinaire;Biologiste;http://fr.wikipedia.org/wiki/Robert_Rauschenberg
139;Arts;Dans quelle ville peut-on admirer le 'Pont des Soupirs'?;Venise;Avignon;Prague;Londres;http://fr.wikipedia.org/wiki/Pont_des_soupirs
140;Informatique;Comment appelle-t-on une personne dont la mission principale consiste à gérer un site internet?;Webmaster;Webcontroler;Websiter;Webcleaner;http://fr.wikipedia.org/wiki/Webmestre
141;Informatique;Laquelle de ces propositions se rapproche le plus de la définition du mot 'octet'?;Unité de mesure;Logiciel;Composant;Programme;http://fr.wikipedia.org/wiki/Octet
142;Internet;Quel format de codage est le plus couramment utilisé dans les pages internet?;HTML;JAVA;HTTP;QCMN;http://fr.wikipedia.org/wiki/Hypertext_Markup_Language
143;Internet;Quel est le nom du prestataire de services internet développé par France Telecom?;Orange;Club Internet;Yahoo;AOL;http://fr.wikipedia.org/wiki/Orange_(société)
144;Sciences;Que désigne le terme MMS en téléphonie mobile?;Message multimédia;Virus;Message crypté;Système anti-vol;http://fr.wikipedia.org/wiki/Message_multimédia
145;Informatique;Parmi ces quatre systèmes informatiques, lequel est dit 'libre'?;Linux;Windows;MS-DOS;Mac OS;http://fr.wikipedia.org/wiki/Linux
146;Informatique;Quel nom porte le logiciel de traitement de texte mis au point par Microsoft?;Word;Excel;PowerPoint;Access;http://fr.wikipedia.org/wiki/Microsoft_Word
147;Informatique;Que désigne le terme 'hacker' dans le domaine informatique?;Pirate informatique;Passionné de jeux vidéo;Concepteur de PAO;Client de vente en ligne;http://fr.wikipedia.org/wiki/Hacker_(sécurité_informatique)
148;Internet;Quel est le nom du principal moteur de recherche utilisé dans le monde à ce jour?;Google;Yahoo;MSN;Alta Vista;http://fr.wikipedia.org/wiki/Moteur_de_recherche
149;Internet;Quel terme désigne familièrement le réseau internet?;Toile;Matrice;Globe;Galaxie;http://fr.wikipedia.org/wiki/Internet
150;Internet;Sur quel type de site internet une personne expose-t-elle périodiquement et librement ses opinions?;Blog;Hub;Pop;Stream;http://fr.wikipedia.org/wiki/Blog
151;Géographie;En combien de provinces est divisé le Canada?;10;4;6;50;http://fr.wikipedia.org/wiki/Canada
152;Géographie;Dans quel Etat américain se trouve la ville de Seattle?;Washington;Floride;Oklahoma;Colorado;http://fr.wikipedia.org/wiki/Seattle
153;Géographie;Dans quel Etat américain se trouve la ville de Miami?;Floride;Texas;Californie;Colorado;http://fr.wikipedia.org/wiki/Miami
154;Géographie;Où se situe le Mont McKinley?;Alaska;Hawaï;Texas;Vermont;http://fr.wikipedia.org/wiki/Mont_McKinley
155;Géographie;Par quelle expression désigne-t-on la diversité ethnique aux Etats-Unis?;Melting pot;Melting mix;Melting view;Melting join;http://fr.wikipedia.org/wiki/Melting_pot
156;Arts;Quel critique a inventé le terme 'Pop Art'?;Lawrence Alloway;Clement Greenberg;Germano Celant;Arthur Danto;http://fr.wikipedia.org/wiki/Pop_art
157;Géographie;Comment se nomme la basse région désertique aride du Sud-Est de la Californie?;Vallée de la mort;Vallée du Soleil;Vallée sèche;Vallée des Rois;http://fr.wikipedia.org/wiki/Parc_national_de_la_Vallée_de_la_mort
158;Géographie;Quelle faille, située dans la région Ouest des Etats-Unis, est la cause de nombreux tremblements de terre?;San Andreas;San Francisco;Nouveau Mexique;Los Angeles;http://fr.wikipedia.org/wiki/Faille_de_San_Andreas
159;Géographie;La région des Grands Lacs américains est composée à ce jour de...;5 Grands Lacs;3 Grands Lacs;7 Grands Lacs;9 Grands Lacs;http://fr.wikipedia.org/wiki/Grands_Lacs_(Amérique_du_Nord)
160;Cinéma;Avant de devenir Chevalier, quel est le rang pour un apprenti Jedi?;Padawan;Novice;Jawas;Hutts;http://fr.wikipedia.org/wiki/Star_Wars
161;Musique;Lequel de ces groupes phares des années 90 était hollandais?;2 Unlimited;Enigma;Scorpions;Ace of base;http://fr.wikipedia.org/wiki/2_Unlimited
162;Bande dessinée;A qui appartient Jolly Jumper?;Lucky Luke;Spirou;Yakari;Blutch;http://fr.wikipedia.org/wiki/Jolly_Jumper_(cheval)
163;Arts;En quelle année 'Orphée aux Enfers' a-t-il été créé?;1858;1861;1848;1876;http://fr.wikipedia.org/wiki/Orphée_aux_Enfers
164;Bande dessinée;Dans quelle aventure Tintin se retrouve-t-il face à un Yeti?;Tintin au Tibet;Tintin au Congo;Tintin en Amérique;On a marché sur la Lune;http://fr.wikipedia.org/wiki/Les_Aventures_de_Tintin_et_Milou
165;Bande dessinée;Dans 'Astérix chez Rahàzade', quel personnage arrive au village gaulois en tapis volant?;Fakir;Indien;Gaulois;Pharaon;http://fr.wikipedia.org/wiki/Astérix_chez_Rahàzade
166;Bande dessinée;Chez les Schtroumpfs, à qui appartient le chat Azraël?;Gargamel;Mortipoil;Gédéon;Gargantua;http://fr.wikipedia.org/wiki/Azraël_(Schtroumpfs)
